1. Ano,2. Nome Região (Portugal),3. Filtro 1,4. Filtro 2,5. Filtro 3,6. Escala,7. Símbolo,8. Valor
1996,Portugal,Aeromodelismo,,, pessoas,,508
1996,Portugal,Aeronáutica,,, pessoas,-,
1996,Portugal,Aikido,,, pessoas,,300
1996,Portugal,Andebol,,, pessoas,,17386
1996,Portugal,Arqueiros e Besteiros,,, pessoas,,178
1996,Portugal,Artes Marciais Chinesas,,, pessoas,,550
1996,Portugal,Atividades Subaquáticas,,, pessoas,,1036
1996,Portugal,Atletismo,,, pessoas,,11107
1996,Portugal,Automobilismo,,, pessoas,,3798
1996,Portugal,Badminton,,, pessoas,,1592
1996,Portugal,Basebol e Softbol,,, pessoas,-,
1996,Portugal,Basquetebol,,, pessoas,,18050
1996,Portugal,Bilhar,,, pessoas,,795
1996,Portugal,Boxe,,, pessoas,,463
1996,Portugal,Bridge,,, pessoas,,995
1996,Portugal,Budo,,, pessoas,-,
1996,Portugal,Campismo e Montanhismo,,, pessoas,-,
1996,Portugal,Canoagem,,, pessoas,,2297
1996,Portugal,Ciclismo,,, pessoas,,2051
1996,Portugal,Columbofilia,,, pessoas,,17040
1996,Portugal,Corfebol,,, pessoas,,471
1996,Portugal,Damas,,, pessoas,-,
1996,Portugal,Dança Desportiva,,, pessoas,,830
1996,Portugal,Desporto para pessoas com deficiência,,, pessoas,-,
1996,Portugal,Desporto Universitário,,, pessoas,-,
1996,Portugal,Desportos de inverno,,, pessoas,,86
1996,Portugal,Equestre,,, pessoas,,1543
1996,Portugal,Escalada de Competição,,, pessoas,-,
1996,Portugal,Esgrima,,, pessoas,,537
1996,Portugal,Futebol,,, pessoas,,95746
1996,Portugal,Futebol de Salão,,, pessoas,,6477
1996,Portugal,Ginástica,,, pessoas,,4183
1996,Portugal,Golfe,,, pessoas,,4520
1996,Portugal,Halterofilismo,,, pessoas,,371
1996,Portugal,Hóquei,,, pessoas,,1139
1996,Portugal,Hovercraft,,, pessoas,-,
1996,Portugal,Jet Ski,,, pessoas,,153
1996,Portugal,Ju-Jitsu e Disciplinas Associadas,,, pessoas,x,
1996,Portugal,Judo,,, pessoas,x,
1996,Portugal,Karate,,, pessoas,-,
1996,Portugal,Kickboxing,,, pessoas,,938
1996,Portugal,Lohan Tao Kempo,,, pessoas,-,
1996,Portugal,Lutas Amadoras,,, pessoas,,1169
1996,Portugal,Minigolfe,,, pessoas,-,
1996,Portugal,Motociclismo,,, pessoas,,1214
1996,Portugal,Motonáutica,,, pessoas,,137
1996,Portugal,Natação,,, pessoas,,4317
1996,Portugal,Orientação,,, pessoas,,670
1996,Portugal,Padel,,, pessoas,-,
1996,Portugal,Paraquedismo,,, pessoas,,1080
1996,Portugal,Patinagem,,, pessoas,,12537
1996,Portugal,Pentatlo Moderno,,, pessoas,,156
1996,Portugal,Pesca Desportiva,,, pessoas,,4250
1996,Portugal,Pesca Desportiva do Alto Mar,,, pessoas,,234
1996,Portugal,Petanca,,, pessoas,,932
1996,Portugal,Remo,,, pessoas,,1283
1996,Portugal,Rugby,,, pessoas,,2946
1996,Portugal,Ski Náutico,,, pessoas,,34
1996,Portugal,Squash,,, pessoas,,306
1996,Portugal,Surf,,, pessoas,-,
1996,Portugal,Taekwondo,,, pessoas,,423
1996,Portugal,Ténis,,, pessoas,,7957
1996,Portugal,Ténis de Mesa,,, pessoas,,4078
1996,Portugal,Tiro,,, pessoas,,2168
1996,Portugal,Tiro com Arco,,, pessoas,,401
1996,Portugal,Tiro com Armas de Caça,,, pessoas,,2367
1996,Portugal,Total,,, pessoas,,265588
1996,Portugal,Trampolins e Desp. Acrobáticos,,, pessoas,,3219
1996,Portugal,Triatlo,,, pessoas,,268
1996,Portugal,Vela,,, pessoas,,1878
1996,Portugal,Voleibol,,, pessoas,,6199
1996,Portugal,Voo Livre,,, pessoas,,648
1996,Portugal,Xadrez,,, pessoas,,2681
1997,Portugal,Aeromodelismo,,, pessoas,,513
1997,Portugal,Aeronáutica,,, pessoas,-,
1997,Portugal,Aikido,,, pessoas,,427
